,Date,State,Confirmed,Deceased,Recovered,State_Name
6867,25-Jun-20,AS,364,0,75,Assam
6868,25-Jun-20,BR,215,1,374,Bihar
6869,25-Jun-20,CH,3,0,7,Chandigarh
6870,25-Jun-20,CT,37,0,128,Chhattisgarh
6871,25-Jun-20,DD,0,0,0,Daman and Diu
6872,25-Jun-20,DL,3390,64,3328,Delhi
6873,25-Jun-20,DN,20,0,8,Dadra and Nagar Haveli and Daman and Diu
6874,25-Jun-20,GA,44,0,46,Goa
6875,25-Jun-20,GJ,577,18,410,Gujarat
6876,25-Jun-20,HP,33,1,8,Himachal Pradesh
6877,25-Jun-20,HR,453,10,455,Haryana
6878,25-Jun-20,JH,44,0,30,Jharkhand
6879,25-Jun-20,JK,127,2,149,Jammu and Kashmir
6880,25-Jun-20,KA,442,6,519,Karnataka
6881,25-Jun-20,KL,123,0,53,Kerala
6882,25-Jun-20,LA,9,0,84,Ladakh
6883,25-Jun-20,LD,0,0,0,Lakshadweep
6884,25-Jun-20,MH,4842,192,3661,Maharashtra
6885,25-Jun-20,ML,0,0,1,Meghalaya
6886,25-Jun-20,MN,86,0,26,Manipur
6887,25-Jun-20,MP,147,8,146,Madhya Pradesh
6888,25-Jun-20,MZ,0,0,6,Mizoram
6889,25-Jun-20,NL,8,0,12,Nagaland
6890,25-Jun-20,OR,210,0,168,Odisha
6891,25-Jun-20,PB,142,7,93,Punjab
6892,25-Jun-20,PY,41,0,11,Puducherry
6893,25-Jun-20,RJ,287,4,229,Rajasthan
6894,25-Jun-20,SK,2,0,0,Sikkim
6895,25-Jun-20,TG,920,5,327,Telangana
6896,25-Jun-20,TN,3509,45,2236,Tamil Nadu
6897,25-Jun-20,TR,32,0,122,Tripura
6898,25-Jun-20,TT,18205,401,13983,Total
6899,25-Jun-20,UN,352,0,0,State Unassigned
6900,25-Jun-20,UP,636,15,533,Uttar Pradesh
6901,25-Jun-20,UT,68,1,37,Uttarakhand
6902,25-Jun-20,WB,475,15,488,West Bengal
6903,25-Mar-20,AN,0,0,0,Andaman and Nicobar Islands
6904,25-Mar-20,AP,2,0,1,Andhra Pradesh
6905,25-Mar-20,AR,0,0,0,Arunachal Pradesh
6906,25-Mar-20,AS,0,0,0,Assam
6907,25-Mar-20,BR,1,0,0,Bihar
6908,25-Mar-20,CH,0,0,0,Chandigarh
